smiles,ID,GROUND_TRUTH
C[C@H]1[C@@H]2CN3CC[C@]4([C@H]3C[C@@H]2C(=CO1)C(=O)OC)c5ccccc5NC4=O,1,0
C(=C/C(=O)/C=C/C(=O)O)\C=C(\C(=O)O)/O,2,0
C1=CC(OC1=O)(CC(=O)O)S(=O)(=O)O,3,0
C/C=C/1\[C@@H](C(=O)N\C1=C/c2c(c(c([nH]2)/C=C\3/C(=C(C(=N3)/C=C\4/C(=C(C(=O)N4)C=C)C)C)CCC(=O)[O-])CCC(=O)[O-])C)C,4,0
CC1(N=N1)CCS[C@@H]2C=C[C@H]3[C@@H]([C@@H]2O)O3,5,0
CSC(=O)OCC1=C[C@@H]2[C@H]3[C@@H]1[C@@H](OC=C3C(=O)O2)O[C@@H]4[C@@H]([C@@H]([C@@H]([C@@H](O4)CO)O)O)O,6,0
c1c2c(cc(c1O)O)/[N+](=C/C=C/3\C[C@@H](NC(=C3)C(=O)[O-])C(=O)[O-])/[C@@H](C2)C(=O)[O-],7,0
CC1=C(C(CCC1=O)(C)C)/C=C\C(=C\C=C/C(=C\C=C/C=C(\C)/C=C\C=C(/C)\C=C/C2=C(C(=O)[C@@H](CC2(C)C)O)C)/C)\C,8,0
C[C@H]1C[C@H]2[C@@H]3CC[C@@H]([C@]3(C[C@]([C@@H]2[C@@]4(C1=CC(=O)CC4)C)(C)O)C)C(=O)C,9,0
CC[C@@H]1[C@@H](/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H](C(=O)[C@H](C(=O)O1)C)C)O)C)C)C,10,0
C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C,11,0
C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)COC(=O)CCC(=O)O)O)C)O,12,0
C[C@H]1[C@@H]2C[C@@H](CCC2=CC(=O)[C@@H]1O)C(=C)C,13,0
COC(=O)C1=CO[C@H]([C@@H]([C@@H]1CC=O)C=C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,14,0
c1cc(c(cc1/C=C\2/C(=O)c3c(cc(cc3O2)O)O)O)O,15,0
CC1=C[C@@H]2[C@]([C@@H](C1=O)O)([C@]3(C[C@H]([C@H]([C@]34CO4)O2)O)C)CO,16,0
CC1=CC(=O)CC([C@@]1(/C=C\C(=C\C(=O)[O-])\C)O)(C)C,17,0
C[C@@]12CC[C@@H]3[C@@H]([C@@H]1CC[C@@H]2[C@@H](C=O)O)CCC4=CC(=O)CC[C@@]34C,18,0
c1ccc(cc1)/C=C\C(=O)NCCc2c[nH]c3c2cc(cc3)O,19,0
CC(=CCC/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C=C(\C)/C(=O)O)/C)/C)C,20,0
COc1c(c(c(c(c1OC)OC)OC)O)C(=O)/C=C/c2ccc(cc2)OCc3ccccc3,21,0
c12c3c(c(c(c(c3Cl)Cl)Cl)Cl)oc1c(c(c(c2Cl)Cl)Cl)Cl,22,0
CCC(=O)O[C@H]1[C@H](C[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)F,23,0
C/C(=C/C=O)/CC/C=C(\C)/CO,24,0
COC(=O)/C=C/C(=O)NC[C@@H](C(=O)[O-])NC(=O)[C@@H](CCSC)[NH3+],25,0
C[C@]12C[C@H](CC(=C)[C@@H]1C[C@H]3[C@@H](C2)OC(=O)C3=C)O,26,0
Cn1c(nc(=O)c(n1)[O-])SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/c4csc(n4)N)SC2)C(=O)[O-],27,0
c1cc(ccc1C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])N(Cc2ccc3c(c2)c(=O)[nH]c(n3)N)C(=O)CBr,28,0
CC(=O)O[C@@H]1C[C@]2([C@@H](CC[C@@H]2C3(OCCO3)C)[C@H]4[C@H]1[C@]5(CCC6(C[C@]57[C@H](C4)O7)OCCO6)C)C,29,0
C([C@@H](C(=O)O)N)/C(=C/C=O)/C=C(\C(=O)O)/O,30,0
C/C(=C\C=C/C=C(/C)\C=C/C=C(\C)/C=C\[C@@]12C(C[C@@H](C[C@@]1(O2)C)O)(C)C)/C=C\C=C(/C)\C=C/[C@@]34C(C[C@@H](C[C@@]3(O4)C)O)(C)C,31,0
CC1=C([C@@H](C(=C(N1)C)[N+](=O)[O-])c2cccc3c2non3)C(=O)OC(C)C,32,0
C/C=C(/C)\C(=O)O[C@@H]1C[C@@]2(CO2)[C@@H]3[C@@H]([C@@H]4[C@]([C@@]3([C@@H]5[C@@H]1C(=C)C(=O)O5)O)(O4)C)O,33,0
COC(=O)/C=C(\C=C(/C(=O)O)\O)/C(=O)O,34,0
CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)C=C[C@]34C)O)C)O,35,0
C/C(=C\C=C\C=C(/C)\C=C\C=C(/C)\C=C=C1[C@@](C[C@@H](C[C@@]1(C)O)O)(C)C)/C=C/C=C(\C)/C=C/[C@]23[C@@](C[C@@H](C[C@]2(O3)C)O)(C)C,36,0
CC1=CC(=O)[C@@H](CC1)[C@](C)(CCC=C(C)C)O,37,0
c1ccc(cc1)C(c2ccc(cc2)Cl)C(Cl)Cl,38,0
C[C@]12CC[C@H]3[C@H]([C@@H]1CCC[C@@H]2O)CCC4=CC(=O)CC[C@]34C,39,0
c1cc(ccc1C[C@@H](C(=O)O)/N=C\C=C\2/C[C@H](NC(=C2)C(=O)O)C(=O)O)O,40,0
CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OC)/c3csc(n3)N)SC1)C(=O)O,41,0
CCC1=C(C(=O)NC1Cc2c(c(c([nH]2)/C=C/3\C(=C(C(=N3)CC4C(=C(C(=O)N4)C=C)C)C)CCC(=O)O)CCC(=O)O)C)C,42,0
C(=CC(=O)[O-])/C(=C/C(=O)[O-])/Cl,43,0
CC1=CC(=O)CC([C@@]1(/C=C/C(=C/C=O)/C)O)(C)C,44,0
CC(=CC(=O)C[C@]1(CC[C@H](O1)c2ccoc2)C)C,45,0
C/C=C\1/[C@@H](C(=O)N/C1=C\c2c(c(c([nH]2)/C=C\3/C(=C(C(=N3)/C=C\4/C(=C(C(=O)N4)C=C)C)C)CCC(=O)[O-])CCC(=O)[O-])C)C,46,0
c1cc(ccc1/C=C/C(=O)O[C@H](Cc2ccc(c(c2)O)O)C(=O)[O-])O,47,0
C[C@H]1CC[C@H]2[C@@H]1[C@@H](OC=C2C(=O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,48,0
CC1=C(C(=O)C(=C(C1=O)OC)OC)C/C=C(\C)/CCC=C(C)C,49,0
c1cc(c(cc1C[C@H](C(=O)[O-])OC(=O)/C=C/c2ccc(c(c2)O)O)O)O,50,0
C[C@]1(c2cccc(c2C(=O)C3=C([C@]4([C@@H]([C@H]([C@@H]31)O)[C@@H](C(=C(C4=O)C(=O)N)O)N(C)C)O)O)O)O,51,0
C[C@@H]1C=C(C(=O)[C@]2([C@H]1C[C@@H]3[C@@]4([C@@H]2[C@H]5[C@H]([C@@H]([C@@]4(CC(=O)O3)O)C)OCO5)C)C)OC,52,0
C[C@@H]1CC(=O)[C@]2([C@@H](O1)O[C@@H]3C[C@@H]4CC[C@@H]5[C@@H]([C@]4(C[C@H]3O2)C=O)CC[C@]6([C@@]5(CC[C@@H]6C7=CC(=O)OC7)O)C)O,53,0
c1c2c(cc(c1O)O)/[N+](=C\C=C\3/C[C@@H](NC(=C3)C(=O)[O-])C(=O)[O-])/CC2,54,0
c1cc(c(cc1[N+](=O)[O-])[N+](=O)[O-])Cl,55,0
CCCC1C(C(/C=C/CCC(C(=O)O1)OC(=O)/C=C/C=C/C)O)O,56,0
CC(=O)O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]3([C@@H]2C(=O)C=C4[C@]3(CC[C@@]5([C@H]4C[C@@](CC5)(C)C(=O)O)C)C)C)C,57,0
Cc1c(c([nH]c1/C=C\2/C(=C(C(=O)N2)C)C=C)/C=C/3\C(=C(C(=N3)/C=C\4/C(=C(C(=O)N4)C=C)C)C)CCC(=O)[O-])CCC(=O)[O-],58,0
COC1=CC(=O)O[C@H](C1)/C=C/c2ccc3c(c2)OCO3,59,0
C\1[C@@H](NC(=C/C1=C/C=N\[C@@H](CCCO)C(=O)O)C(=O)O)C(=O)O,60,0
C1=C[C@]([C@H](C=C1C(=O)[O-])O)(C(=O)[O-])O,61,0
CC(=CCC/C(=C/CC/C(=C\C=O)/C)/C)C,62,0
C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2CC[C@@]3([C@H]4CC[C@@]5([C@H](CC[C@@]5([C@@H]4CC[C@@]3(C2)O)O)C6=CC(=O)OC6)C)C=O)O)O,63,0
C(C([C@@H]1C(=C(C(=O)O1)O)[O])O)O,64,0
CC(C)Nc1nc(nc(n1)Cl)N,65,0
CCNc1nc(nc(n1)Cl)NC(C)C,66,0
c1cc(oc1/C=C/C(=O)N)[N+](=O)[O-],67,0
C1C(O1)CO,68,0
C(=C(\C(=O)O)/Cl)\C(=C(/C(=O)O)\Cl)\Cl,69,0
CC(=C)C1(C(=CC(=O)O1)OC)O,70,0
C[C@@]12CC[C@@H]3[C@@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@@]34C=O,71,0
Cc1cc(c(cn1)C(=O)N[C@H](c2ccc(cc2)O)C(=O)N[C@H]3[C@@H]4N(C3=O)C(=C(CS4)CSc5nnnn5C)C(=O)[O-])O,72,0
C(=C(/C=O)\C(=O)[O-])\C=C(\C(=O)[O-])/O,73,0
Cc1ccc(cc1)S(=O)(=O)c2ccc(cc2)CCl,74,0
c1cc(ccc1/C=C/C(=O)N[C@H](CC(=O)[O-])C(=O)[O-])O,75,0
CC1=CC(=O)CC([C@]1(/C=C/C(=O)C)O)(C)C,76,0
c1cc(ccc1/C=C\C(=O)c2c(cc(cc2O)O)O)O,77,0
C[C@@H]1CC[C@H]2[C@@H]1[C@@H](OC=C2C(=O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,78,0
CCCC#CC#C/C=C/C(=O)OC,79,0
c1cc(c(cc1C2(c3c(c(c(c(c3Br)Br)Br)Br)C(=O)O2)c4ccc(c(c4)S(=O)(=O)[O-])O)S(=O)(=O)[O-])O,80,0
CC(=CCC/C(=C\C=C/C(=C\C=C/C(=C\C=C/C=C(\C)/C=C\C=C(/C)\C=C/C=C(\C)/C(=O)[O-])/C)/C)/C)C,81,0
C[C@]1(CC(=O)C=C2[C@@H]1[C@@H]([C@]34[C@H]2CC[C@](C3)(C(=C)C4)O)C(=O)O)C(=O)O,82,0
c1cc(c2c3c1-c4ccc(c5c4[C@]([C@@H]3[C@H](CC2=O)O)(C=CC5=O)O)O)O,83,0
c1ccc(cc1)C(=O)/C=C/c2ccc(cc2)O,84,0
c1cc(ccc1/C=C/C(=O)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)Oc3cc4c(cc(cc4[o+]c3c5ccc(c(c5)O)O)O)O)O)O)O)O,85,0
C[C@@H](CCC(=O)[O-])[C@@H]1CC[C@@H]2[C@@]1([C@@H](C[C@@H]3[C@@H]2[C@@H](CC4=CC(=O)CC[C@@]34C)O)O)C,86,0
CC(=CCC/C(=C/CC/C(=C/CC/C=C(\C)/CC/C=C(\C)/CC[C@@H]1C(O1)(C)C)/C)/C)C,87,0
c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl,88,0
C/C=C(\C)/C(=O)O[C@@H]1C[C@@H](n2c1c(cc2)COC(=O)/C(=C/C)/COC(=O)C=C(C)C)OC(=O)C,89,0
C/C(=C\C=C/C=C(\C)/C=C\C=C(/C)\C=C/[C@@]12C(C[C@@H](C[C@@]1(O2)C)O)(C)C)/C=C\C=C(/C)\C=C/[C@@]34C(C[C@@H](C[C@@]3(O4)C)O)(C)C,90,0
C(=C\C(=O)[O-])\C=C(/C(=O)[O-])\Cl,91,0
c1cc(c(cc1Cl)Cl)Cl,92,0
C[C@@H]1[C@H]([C@H](C[C@@H](O1)OC(C(C)C)C(C)/C=C(\C)/C=C/C=C/C=C/C=C/C(=O)C2=C(C(N(C2=O)C)CCC(=O)O)O)O)O,93,0
CO/N=C(/c1csc(n1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=CCS3)C(=O)O,94,0
CC(=CCC/C(=C\C=C/C(=C\C=C/C=C(\C)/C=C\C=C(/C)\C=C/C=C(\C)/C(=O)[O-])/C)/C)C,95,0
CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)CC[C@@]43C)F)O)C)O,96,0
CC(=O)N[C@@H]1[C@@H]([C@@H]([C@@H](O[C@@H]1O)COS(=O)(=O)[O-])O)O[C@@H]2[C@@H]([C@@H](C=C(O2)C(=O)[O-])O)O,97,0
CC1=C2[C@@H]([C@@H]3[C@@H]([C@H](C1)O)C(=C)C(=O)O3)C(=CC2=O)CO,98,0
c1c(c(c(=O)[nH]c1C(=O)O)/C=C\C(=O)C(=O)O)O,99,0
CC1=C(C(C[C@@H](C1)O)(C)C)/C=C\C(=C/C=C\C(=C/C=C\C=C(/C)\C=C/C=C(\C)/C=C\[C@@]23C(C[C@@H](C[C@@]2(O3)C)O)(C)C)\C)\C,100,0
COc1cc(cc(c1OC(=O)[C@H](CC(=O)[O-])O)OC)/C=C\C(=O)[O-],101,0
C/C(=C\CC/C(=C/C(=O)OC)/C)/CC[C@@H]1[C@@](O1)(C)CO,102,0
CC[C@@H](CC[C@@H](C)[C@@H]1CC[C@@H]2[C@@]1(CC[C@@H]3[C@@H]2CCC4=CC(=O)CC[C@@]34C)C)C(C)C,103,0
C[C@@H]1[C@H](O[C@]2([C@@]1(C=C(C(=O)C2)CC=C)OC)OC)c3ccc4c(c3)OCO4,104,0
c1cc(ccc1/C=C\C(=O)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,105,0
C(=C\C(=O)[O-])\C(=C(\C(=O)[O-])/Cl)\Cl,106,0
c1ccc(cc1)/C=C/C(=O)[O-],107,0
C[C@@]12CC[C@@H]3[C@@H]([C@@H]1CCC2=O)CCC4=CC(=O)CC[C@@]34C=O,108,0
c1ccc(c(c1)/C=C\C(=O)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,109,0
C(=C/C(=O)[O-])\C(=C/C(=O)[O-])\C(=O)[O-],110,0
C(=C/C(=O)O)\C(=CC(=O)O)/C=C\C(=O)O,111,0
CC(C)(C(=O)O)O/N=C(/c1csc(n1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[n+]4ccccc4)C(=O)[O-],112,0
Cc1c(c([nH]c1/C=C\2/C(=C(C(=O)N2)C)C=C)/C=C\3/C(=C(C(=N3)C[C@@H]4C(=C(C(=O)N4)C=C)C)C)CCC(=O)O)CCC(=O)O,113,0
CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](c3ccc(cc3)O)N)SC1)C(=O)[O-],114,0
C[C@@H]1C2=C(Cc3cccc(c3C2=O)O)C[C@@H](O1)CC(=O)[O-],115,0
CCCCCC1C(O1)C/C=C\C/C=C\C/C=C\CCCC(=O)O,116,0
C1=C(O[C@H]([C@@H]([C@@H]1O)O)O[C@@H]2[C@@H]([C@@H]([C@@H](O[C@@H]2C(=O)[O-])O[C@@H]3[C@@H]([C@@H]([C@@H](O[C@@H]3C(=O)[O-])O)O)O)O)O)C(=O)[O-],117,0
CC[C@@]1(CCC2=C1CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C,118,0
CC(C)CCC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](CC4=CC(=O)CC[C@]34C)O)O)C,119,0
C(CCl)O,120,0
C/C=C/CC/C(=C/CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC1=CC(=O)C=C(C1=O)OC)/C)/C)/C)/C)/C)/C)/C,121,0
C[C@H]1[C@H]2CN3CCc4c5cc(ccc5[nH]c4[C@@H]3C[C@@H]2C(=CO1)C(=O)OC)OC,122,0
CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OC)/c3csc(n3)N)SC1)C(=O)[O-],123,0
c1cc(c(cc1/C=C/C(=O)c2c(cc(cc2O)O)O)O)O,124,0
C/C(=C(/C(=O)CC(=O)O)\Cl)/C(=O)O,125,0
c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl,126,0
CC1=C(C(CCC1)(C)C)/C=C/C(=C\C=C/C(=C\C=C/C=C(\C)/C=C\C=C(/C)\C=O)/C)/C,127,0
C[C@@H]1C[C@]2([C@@H](O2)C)C(=O)O[C@@H]3CCN4[C@@H]3C(=CC4)COC(=O)[C@]1(C)O,128,0
C1C=C([C@@H]2[C@H]1C(=CO[C@H]2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C=O)CO,129,0
c1ccc(cc1)/C=C\C(=O)N2CCC[C@H](C2)[C@@H]3CCCCN3,130,0
C[C@@H]1C[C@H]2[C@H](C[C@]3([C@H]1CC(=O)OC3)C)C(=C)C(=O)O2,131,0
CC(=O)OCC1=C(N2[C@@H]([C@H](C2=O)NC(=O)CCCC(=O)[O-])SC1)C(=O)[O-],132,0
C1C[C@H](/[N+](=C\C=C\2/C[C@H](NC(=C2)C(=O)O)C(=O)O)/C1)C(=O)[O-],133,0
C[C@@H]1[C@@H]([C@@H](C[C@@H](O1)O[C@H]2CC[C@]3([C@@H](C2)CC[C@]45[C@@H]3CC[C@]6([C@]4(O5)CC[C@@H]6C7=CC(=O)OC7)C)C)OC)O,134,0
c1c(c(=O)[nH]c(=O)[nH]1)N(CCCl)CCCl,135,0
CC(=O)/C=C\C=C(\C(=O)[O-])/O,136,0
C[C@@H]1C[C@@H]2[C@H]([C@@H]([C@]3([C@H]1C=CC3=O)C)OC(=O)C)C(=C)C(=O)O2,137,0
C([C@@H](/C=C\C(=O)C(=O)[O-])C(=O)[O-])C(=O)[O-],138,0
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)CO)CCC4=CC(=O)CC[C@]34C,139,0
CC(=O)[C@H]1CC[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2C[C@@H](C4=CC(=O)CC[C@@]43C)F)F)O)C,140,0
CC(C)/C=C\C=C/[C@@H](C)c1nc(cs1)c2nc(cs2)/C=C\[C@@H]([C@@H](C)/C(=C\C(=O)N)/OC)OC,141,0
C[C@H]1CC(=O)[C@H]2[C@@H]1[C@@H](OC=C2C(=O)OC)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,142,0
C[C@]1(CO1)CCCO[P@@](=O)([O-])OP(=O)([O-])[O-],143,0
CC1=C(C(C[C@@H](C1)O)(C)C)/C=C/C(=C/C=C\C(=C/C=C\C=C(/C)\C=C/C=C(\C)/C=C\C(=O)[C@@]2(C[C@@H](CC2(C)C)O)C)\C)/C,144,0
CCCCCCCCCCC(C1CCC(O1)C(CCC(C2CCC(O2)CCCCCCCC(CC3=CC(OC3=O)C)O)O)O)O,145,0
c1ccc(c(c1)/C=C/C(=O)C(=O)[O-])O,146,0
C(=C/NC(=O)N)\C(=O)[O-],147,0
C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC(=O)O4)C,148,0
CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC/C(=C/CC1=CC(=O)c2ccccc2C1=O)/C,149,0
C(C/C(=C/C(=O)[O-])/C(=O)[O-])CC(=O)[O-],150,0
CCNc1nc(nc(n1)Cl)N,151,0
C[C@@]12C[C@@H]3[C@H](C[C@H]1C(=C)C(=O)C=C2)C(=C)C(=O)O3,152,0
C(#N)c1c(c(c(c(c1Cl)Cl)Cl)C#N)Cl,153,0
C(=C\C(=O)/C=C\C(=O)[O-])\C=C(/C(=O)[O-])\O,154,0
c1c2c(c(c(c1Cl)Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,155,0
CC(=CC[C@@H](c1cc(c2c(c1OC)C(=O)C=CC2=O)O)OC(=O)C)C,156,0
CC(=CCC/C(=C\C=C/C(=C\C=C/C=C(\C)/C=C\C=C(/C)\C=C/C=C(\C)/C(=O)O[C@@H]1[C@@H]([C@@H]([C@@H]([C@@H](O1)CO)O)O)O)/C)/C)C,157,0
C[C@@]12CC[C@H]3C(=CC(=O)[C@@H]4[C@@]3(C[C@@H]([C@@H](C4)O)O)C)[C@@]1(CC[C@@H]2[C@@](C)([C@@H](CCC(C)(C)O)O)O)O,158,0
CC1([C@@H](O1)COc2c3ccc(=O)oc3cc4c2cco4)C,159,0
C[C@@H]1C=C(C(=O)[C@]2([C@H]1C[C@@H]3[C@@]4([C@@H]2[C@@H]([C@H]([C@@H]([C@@H]4CC(=O)O3)C)OC)OC(=O)C)C)C)OC,160,0
C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OCC(=O)O)/c3csc(n3)N)SC1)C(=O)O,161,0
